ko,name
"K19663","PRKCG"
"K04958","ITPR1"
"K03120","TBP"
"K04893","KCND3"
"K24870","TMEM240"
"K15840","PDYN"
"K03234","EEF2"
"K23920","FGF14"
"K08956","AFG3L2"
"K19324","BEAN1"
"K10249","ELOVL4"
"K05624","TGM6"
"K14564","NOP56"
"K20054","DAB1"
"K10244","ELOVL5"
"K25811","CCDC88C"
"K04966","TRPC3"
"K04854","CACNA1G"
"K01389","MME"
"K04603","GRM1"
"K16506","FAT2"
"K16860","PLD3"
"K17943","PUM1"
"K05640","protein"
"K24201","beta"
"K01201","acid"
"K19054","frataxin"
"K03878","ND1"
"K03879","ND2"
"K03881","ND4"
"K03882","ND4L"
"K03883","ND5"
"K03884","ND6"
"K00412","CYTB"
"K02256","COX1"
"K02262","COX3"
"K02126","ATP6"
"K01084","G6PC1"
"K08171","SLC37A4"
"K12316","GAA"
"K01196","AGL"
"K00700","GBE1"
"K00688","PYGM"
"K00850","PFKM"
"K07190","PHKA2"
"K00871","PHKG2"
"K01834","PGAM2"
"K07593","SLC2A2"
"K00016","LDHA"
"K01623","ALDOA"
"K01689","ENO3"
"K01835","PGM1"
"K00750","GYG1"
"K07200","PRKAG2"
"K00693","GYS2"
"K00965","GALT"
"K00849","GALK1"
"K01784","GALE"
"K01785","GALM"
"K00161","PDHA1"
"K00162","PDHB"
"K00627","DLAT"
"K00382","DLD"
"K13997","PDHX"
"K01102","PPM2C"
"K01958","PC"
"K01437","ASPA"
"K00477","PHYH"
"K13341","PEX7"
"K10570","ERCC8"
"K10841","ERCC6"
"K10843","ERCC3"
"K10848","ERCC4"
"K10846","ERCC5"
"K23879","GRN"
"K05430","IL4"
"K05071","IL4RA"
"K05435","IL13"
"K08090","FCER1B"
"K03156","TNFA"
"K08616","ADAM33"
"K04391","CD14"
"K06752","HLA-DRB1"
"K06751","HLA-G"
"K04142","ADRB2"
"K00461","ALOX5"
"K16597","CCL11"
"K13909","MUC7"
"K01062","PLA2G7"
"K25469","SCGB3A2"
"K04332","PTGDR"
"K08376","NPSR1"
"K04732","IRAK3"
"K17523","CHI3L1"
"K18024","PTPN22"
"K06472","FCGR2A"
"K12560","FCGR2B"
"K06538","CTLA4"
"K10790","TREX1"
"K11994","DNASE1"
"K10168","TLR5"
"K06744","PDCD1"
"K04012","CR2"
"K09446","IRF5"
"K11222","STAT4"
"K11995","DNASE1L3"
"K01332","C2"
"K03989","C4A"
"K06463","FCGR3A"
"K16143","CRP"
"K22870","ZNF423"
"K05443","IL10"
"K13375","TGFB1"
"K13376","TGFB2"
"K13377","TGFB3"
"K04687","IFNG"
"K06490","ICAM1"
"K01283","ACE"
"K06493","ITGB3"
"K04383","IL1A"
"K05481","IL1RN"
"K05405","IL6"
"K05141","TNFRSF1B"
"K05429","IL2"
"K07370","BTK"
"K12470","SH3KBP1"
"K06554","IGLL1"
"K06506","CD79A"
"K07371","BLNK"
"K22038","LRRC8A"
"K06507","CD79B"
"K02649","PIK3R1"
"K09063","TCF3"
"K14713","SLC39A7"
"K09438","SPI1"
"K03161","CD40LG"
"K10989","AICDA"
"K03160","CD40"
"K03648","UNG"
"K17399","DNMT3B"
"K06713","ICOS"
"K05150","TACI"
"K06465","CD19"
"K05151","TNFRSF13C"
"K06466","MS4A1"
"K06508","CD81"
"K24181","LRBA"
"K04469","NFKB2"
"K05434","IL21"
"K02580","NFKB1"
"K09220","IKZF1"
"K22383","IRF2BP2"
"K05425","IL12B"
"K05063","IL12RB1"
"K05132","IFNGR1"
"K05133","IFNGR2"
"K11220","STAT1"
"K10155","IRF8"
"K12159","ISG15"
"K08534","RORC"
"K07210","IKBKG"
"K21421","CYBB"
"K05070","IL2RG"
"K11218","JAK3"
"K05072","IL7R"
"K06478","PTPRC"
"K06450","CD3D"
"K06451","CD3E"
"K06453","CD247"
"K13882","CORO1A"
"K22046","BCL11B"
"K01488","ADA"
"K10628","RAG1"
"K10988","RAG2"
"K10887","DCLRE1C"
"K00939","AK2"
"K06642","PRKDC"
"K03783","PNP"
"K06458","CD8A"
"K16056","ORAI1"
"K16059","STIM1"
"K07367","CARD11"
"K07369","MALT1"
"K07209","IKBKB"
"K05142","TNFRSF4"
"K06452","CD3G"
"K05856","LCK"
"K01937","CTPS1"
"K07368","BCL10"
"K12367","DOCK2"
"K07360","ZAP70"
"K10732","GINS1"
"K09486","HYOU1"
"K10865","MRE11A"
"K10747","LIG1"
"K10777","LIG4"
"K10901","BLM"
"K02212","MCM4"
"K04733","IRAK4"
"K09447","IRF7"
"K05404","TLR7"
"K04189","CXCR4"
"K05050","CXCR2"
"K08011","NCF1"
"K08010","NCF2"
"K08012","NCF4"
"K08009","CYBA"
"K25863","CYBC1"
"K06464","ITGB2"
"K15279","SLC35C1"
"K17084","FERMT3"
"K07860","RAC2"
"K01327","ELANE"
"K09223","GFI1"
"K16220","HAX1"
"K12479","VPS45"
"K25789","JAGN1"
"K05061","CSF3R"
"K03106","SRP54"
"K05747","WAS"
"K22937","CHS1"
"K10357","MYO5A"
"K07885","RAB27A"
"K22235","MLPH"
"K05692","ACTB"
"K10051","CEBPE"
"K10789","MPO"
"K00036","G6PD"
"K14574","SBDS"
"K03986","C1QA"
"K03987","C1QB"
"K03988","C1QG"
"K01330","C1R"
"K01331","C1S"
"K03990","C3"
"K03994","C5"
"K03995","C6"
"K03996","C7"
"K03997","C8A"
"K03998","C8B"
"K04000","C9"
"K03999","C8G"
"K01335","CFB"
"K01334","CFD"
"K04004","CFH"
"K15412","CFP"
"K03991","MBL2"
"K03993","MASP2"
"K10104","FCN3"
"K04001","SERPING1"
"K04002","C4BPA"
"K04003","C4BPB"
"K01333","IF"
"K04006","DAF"
"K04008","CD59"
"K10175","TBX1"
"K11219","TYK2"
"K07990","SH2D1A"
"K04725","XIAP"
"K07363","ITK"
"K10603","AIRE"
"K10163","FOXP3"
"K14576","RMRP"
"K04389","FASLG"
"K04400","CASP10"
"K06068","PRKCD"
"K07818","PRF1"
"K19728","UNC13D"
"K08487","STX11"
"K15300","STXBP2"
"K15690","RC3H1"
"K03841","FBP1"
"K01203","SI"
"K01229","LCT"
"K00830","AGXT"
"K00049","GRHPR"
"K18123","HOGA1"
"K17497","PMM2"
"K01809","MPI"
"K03848","ALG6"
"K03845","ALG3"
"K00721","DPM1"
"K09660","MPDU1"
"K03847","ALG12"
"K03849","ALG8"
"K03843","ALG2"
"K01001","DPAGT1,"
"K03842","ALG1"
"K03846","ALG9"
"K00902","DOLK"
"K06316","RFT1"
"K09659","DPM3"
"K03844","ALG11"
"K12345","SRD5A3"
"K12670","DDOST"
"K07432","ALG13"
"K09658","DPM2"
"K01456","NGLY1"
"K07151","STT3A"
"K04571","SSR4"
"K11540","CAD"
"K19177","NUS1"
"K11778","DHDDS"
"K19478","MAGT1"
"K00736","MGAT2"
"K01228","GCS1"
"K07966","B4GALT1"
"K20294","COG7"
"K15272","SLC35A1"
"K20288","COG1"
"K20295","COG8"
"K20292","COG5"
"K20291","COG4"
"K23541","TMEM165"
"K20293","COG6"
"K14714","SLC39A8"
"K23543","CCDC115"
"K23542","TMEM199"
"K20289","COG2"
"K19514","ATP6AP2"
"K03662","ATP6AP1"
"K10086","EDEM3"
"K00728","POMT1"
"K09666","POMGNT1"
"K19872","FKTN"
"K19873","FKRP"
"K09668","LARGE"
"K21031","ISPD"
"K18207","GTDC2"
"K06265","DAG1"
"K21052","TMEM5"
"K09654","B3GALNT2"
"K17547","SGK196"
"K21032","B3GNT1"
"K00966","GMPPB"
"K02366","EXT1"
"K02367","EXT2"
"K01132","GALNS"
"K12309","GLB1"
"K12373","HEXA"
"K12383","GM2A"
"K01189","GLA"
"K01134","ARSA"
"K01217","IDUA"
"K01136","IDS"
"K01565","SGSH"
"K01205","NAGLU"
"K10532","HGSNAT"
"K01137","GNS"
"K01135","ARSB"
"K01195","GUSB"
"K01197","HYAL1"
"K01131","STS"
"K01202","GALC"
"K12385","NPC1"
"K13443","NPC2"
"K12350","SMPD1"
"K12348","ASAH1"
"K12311","MAN2B1"
"K01192","MANBA"
"K01206","FUCA1"
"K01186","NEU1"
"K08239","GNPTAB"
"K04992","MCOLN1"
"K01444","AGA"
"K01204","NAGA"
"K12301","SLC17A5"
"K12409","GNE"
"K01052","LIPA"
"K01074","PPT1"
"K01279","TPP1"
"K12389","CLN3"
"K12359","CLN6"
"K09525","DNAJC5"
"K12390","CLN5"
"K12307","MSFD8"
"K12360","CLN8"
"K01379","CTSD"
"K01373","CTSF"
"K21917","KCTD7"
"K06528","LAMP2"
"K00488","CYP27A1"
"K05684","ABCG8"
"K05683","ABCG5"
"K09106","USF1"
"K01059","LPL"
"K22287","APOC2"
"K20001","GPIHBP1"
"K12473","LDLR"
"K08726","EPHX2"
"K05080","GHR"
"K08067","PPP1R17"
"K08758","APOA2"
"K14462","APOB"
"K13050","PCSK9"
"K12474","LDLRAP1"
"K09025","APOA5"
"K00650","LCAT"
"K05641","ABCA1"
"K14463","MTTP"
"K00213","DHCR7"
"K00128","ALDH3A2"
"K00451","HGD"
"K01948","CPS1"
"K01555","FAH"
"K00815","TAT"
"K00457","HPD"
"K20193","HPS1"
"K12397","AP3B1"
"K20190","HPS3"
"K20194","HPS4"
"K20191","HPS5"
"K20192","HPS6"
"K20189","DTNBP1"
"K20186","BLOC1S3"
"K20188","BLOC1S6"
"K12396","AP3D1"
"K20187","BLOC1S5"
"K00500","PAH"
"K00357","QDPR"
"K01495","GCH1"
"K01737","PTS"
"K01724","PCBD1"
"K00505","TYR"
"K24200","OCA2"
"K00506","TYRP1"
"K15378","SLC45A2"
"K13753","SLC24A5"
"K24399","LRMDA"
"K01827","DCT"
"K08470","GPR143"
"K05706","SNAI2"
"K01745","HAL"
"K00166","BCKDHA"
"K00167","BCKDHB"
"K09699","DBT"
"K17505","PPM1K"
"K00253","IVD"
"K01847","MMUT"
"K07588","MMAA"
"K00798","MMAB"
"K14618","MMACHC"
"K13279","PRDX1"
"K14617","LMBRD1"
"K05678","ABCD4"
"K14966","HCFC1"
"K06734","CD320"
"K05606","MCEE"
"K01965","PCCA"
"K01966","PCCB"
"K05675","ABCD1"
"K13338","PEX1"
"K13342","PEX5"
"K13345","PEX12"
"K13339","PEX6"
"K06664","PEX2"
"K13346","PEX10"
"K13340","PEX26"
"K13335","PEX16"
"K13336","PEX3"
"K13352","PEX11B"
"K00252","GCDH"
"K03522","ETFA"
"K03521","ETFB"
"K00311","ETFDH"
"K18703","SUGCT"
"K01640","HMGCL"
"K01942","HLCS"
"K01968","MCCC1"
"K01969","MCCC2"
"K01758","CTH"
"K01697","CBS"
"K00597","MTRR"
"K25004","MTHFR"
"K00789","MAT1A"
"K01251","AHCY"
"K00552","GNMT"
"K00856","ADK"
"K01940","ASS1"
"K15105","SLC25A13"
"K01476","ARG1"
"K00611","OTC"
"K14157","AASS"
"K00819","OAT"
"K00318","PRODH"
"K00294","ALDH4A1"
"K00281","GLDC"
"K00605","AMT"
"K02437","GCSH"
"K00106","XDH"
"K15631","MOCOS"
"K00207","DPYD"
"K00760","HPRT1"
"K00759","APRT"
"K00948","PRPS1"
"K01756","ADSL"
"K13421","UMPS"
"K01464","DPYS"
"K01431","UPB1"
"K01772","FECH"
"K03544","CLPX"
"K01719","UROS"
"K01599","UROD"
"K00643","ALAS2"
"K01749","HMBS"
"K00231","PPOX"
"K01698","ALAD"
"K00228","CPOX"
"K03781","CAT"
"K13344","PEX13"
"K13337","PEX19"
"K13343","PEX14"
"K00869","MVK"
"K00649","GNPAT"
"K00803","AGPS"
"K13356","FAR1"
"K00699","UGT1A1"
"K05666","ABCC2"
"K05043","SLCO1B1"
"K17686","ATP7A"
"K23100","HJV"
"K23106","HAMP"
"K23910","TFR2"
"K14685","SLC40A1"
"K00522","FTH1"
"K14710","SLC39A4"
"K01077","ALPL"
"K08636","PHEX"
"K05012","CLCN5"
"K22428","FGF23"
"K23328","DMP1"
"K01513","ENPP1"
"K14683","SLC34A3"
"K04837","SCN4A"
"K04857","CACNA1S"
"K04996","KCNJ2"
"K16931","STAR"
"K00070","HSD3B2"
"K00513","CYP21A2"
"K00497","CYP11B1"
"K00512","CYP17A1"
"K05031","CFTR"
"K03899","F8"
"K01321","F9"
"K03900","VWF"
"K06261","GP1BA"
"K03902","F5"
"K10080","LMAN1"
"K20364","MCFD2"
"K03903","FGA"
"K03904","FGB"
"K03905","FGG"
"K01313","F2"
"K01344","PROC"
"K03908","PROS1"
"K03911","SERPINC1"
"K03912","SERPIND1"
"K23410","HRG"
"K03907","THBD"
"K06262","GP1BB"
"K06263","GP9"
"K08627","ADAMTS13"
