ko,name
"K07610","DES"
"K17622","EYA4"
"K12563","SGCD"
"K05033","ABCC9"
"K24031","TMPO"
"K23407","GATAD1"
"K01922","PPCS"
"K02925","RPL3L"
"K24052","RBM20"
"K00234","SDHA"
"K09557","BAG3"
"K09542","CRYAB"
"K06241","LAMA4"
"K22410","PRDM16"
"K04366","RAF1"
"K13511","TAZ"
"K10900","WRN"
"K10730","RECQL4"
"K12347","SLC11A1"
"K08539","VDR"
"K14624","CCL2"
"K06563","CD209"
"K04701","CISH"
"K24503","SP110"
"K05403","TIRAP"
"K10159","TLR2"
"K05468","LTA"
"K05398","TLR1"
"K06574","ACKR1"
"K06259","CD36"
"K04011","CR1"
"K06575","GYPA"
"K20925","GYPB"
"K06576","GYPC"
"K09478","ACADSB"
"K09479","ACADVL"
"K10847","XPA"
"K10838","XPC"
"K10844","ERCC2"
"K10140","DDB2"
"K10610","DDB1"
"K03509","POLH"
"K10845","GTF2H5"
"K10849","ERCC1"
"K00232","ACOX1"
"K12405","HSD17B4"
"K01796","AMACR"
"K08764","SCP2"
"K04526","INS"
"K05068","IL-2RA"
"K18026","PTPN2"
"K05084","ERBB3"
"K19513","CLEC16A"
"K09042","BACH2"
"K18052","PRKCQ"
"K01366","CTSH"
"K19470","C1QTNF6"
"K17973","C12orf30"
"K06567","CD226"
"K04960","ITPR3"
"K07438","CYP27B1"
"K17392","IGF2BP2"
"K08579","CAPN10"
"K14695","SLC30A8"
"K19495","JAZF1"
"K08024","HHEX"
"K05004","KCNJ11"
"K04926","KCNQ1"
"K04286","MTNR1B"
"K20994","NOTCH2"
"K08530","PPARG"
"K15865","CDKAL1"
"K08624","ADAMTS9"
"K08034","HNF1B"
"K04491","TCF7L2"
"K14020","WFS1"
"K19469","FTO"
"K07292","HNF4A"
"K12407","GCK"
"K07594","PDX1"
"K08033","NEUROD1"
"K09209","KLF11"
"K12298","CEL"
"K08032","PAX4"
"K08890","BLK"
"K08733","APPL1"
"K05131","IFNAR2"
"K04180","CCR5"
"K16741","ALMS1"
"K16746","BBS1"
"K16747","BBS2"
"K07951","ARL6"
"K16531","BBS4"
"K16748","BBS5"
"K09492","MKKS"
"K16749","BBS7"
"K16781","TTC8"
"K19398","BBS9"
"K19401","BBS10"
"K10607","TRIM32"
"K19402","BBS12"
"K22863","WDPCP"
"K16488","SDCCAG8"
"K19400","LZTFL1"
"K19399","BBIP1"
"K07934","IFT27"
"K19676","IFT172"
"K25226","C8orf37"
"K19679","IFT74"
"K13509","AGPAT2"
"K06278","CAV1"
"K19387","PTRF"
"K08768","PLIN1"
"K25878","CIDEC"
"K07188","LIPE"
"K02147","ATP6V1B1"
"K02154","ATP6V0A4"
"K13575","SLC4A4"
"K04675","ACVR1"
"K19721","COL11A2"
"K06238","COL6A1"
"K23573","DSPP"
"K10179","TBX5"
"K05016","CLCN7"
"K23282","PLEKHM1"
"K05473","TNFSF11"
"K23863","OSTM1"
"K05147","TNFRSF11A"
"K17924","SNX10"
"K14381","SQSTM1"
"K05148","TNFRSF11B"
"K24375","ZNF687"
"K07992","DAP12"
"K14378","TREM2"
"K14536","EFL1"
"K11588","MECP2"
"K09385","FOXG1B"
"K18435","SOX9"
"K19407","FAM123B"
"K19719","COL2A1"
"K09381","PAX3"
"K06792","ACAN"
"K07372","GJA1"
"K19410","LEMD3"
"K15616","EYA1"
"K19474","SIX5"
"K15614","SIX1"
"K16480","OFD1"
"K19382","TCTN3"
"K19466","DDX59"
"K22859","CPLANE1"
"K16751","C2CD3"
"K21765","MNR"
"K22862","INTU"
"K04638","IFT57"
"K13129","SMN1"
"K03178","UBA1"
"K18739","BICD2"
"K00069","HPGD"
"K14345","SLCO2A1"
"K09069","TWIST1"
"K00327","POR"
"K06234","RAB23"
"K05463","EFNB1"
"K09298","HOXD13"
"K17307","FBLN1"
"K10178","TBX4"
"K05058","LIFR"
"K08025","HLXB9"
"K09371","LMX1B"
"K15516","FMR1"
"K04664","GDF5"
"K13578","BMPR1B"
"K00758","TYMP"
"K00857","TK2"
"K00904","DGUOK"
"K02332","POLG"
"K01900","SUCLA2"
"K17680","PEO1"
"K10808","RRM2B"
"K01899","SUCLG1"
"K09881","AGK"
"K19465","MGME1"
"K05863","SLC25A4"
"K10270","FBXL4"
"K17079","OPA1"
"K11830","TFAM"
"K02333","POLG2"
"K02427","MRM2"
"K15110","SLC25A21"
"K13577","SLC25A10"
"K12324","NPR2"
"K10149","TP63"
"K01357","WNT10B"
"K18489","DLX5"
"K04424","MAP3K20"
"K03937","NDUFS4"
"K03941","NDUFS8"
"K03940","NDUFS7"
"K03942","NDUFV1"
"K03934","NDUFS1"
"K03935","NDUFS2"
"K03943","NDUFV2"
"K03936","NDUFS3"
"K03939","NDUFS6"
"K18160","NDUFAF2"
"K18159","NDUFAF1"
"K03945","NDUFA1"
"K03946","NDUFA2"
"K03956","NDUFA11"
"K18161","NDUFAF4"
"K18162","NDUFAF5"
"K18163","NDUFAF6"
"K09008","NDUFAF3"
"K18166","FOXRED1"
"K15980","ACAD9"
"K03593","NUBPL"
"K03954","NDUFA10"
"K11352","NDUFA12"
"K03965","NDUFB9"
"K03959","NDUFB3"
"K03953","NDUFA9"
"K00604","MTFMT"
"K11353","NDUFA13"
"K18165","TMEM126B"
"K11351","NDUFB11"
"K23505","TIMMDC1"
"K03964","NDUFB8"
"K03950","NDUFA6"
"K24726","NDUFAF8"
"K03966","NDUFB10"
"K03968","NDUFC2"
"K03952","NDUFA8"
"K03880","ND3"
"K15281","SLC35D1"
"K09341","MSX2"
"K09451","ALX4"
"K04659","COMP"
"K08131","COL9A2"
"K14701","DTDST"
"K19467","MATN3"
"K12304","CANT1"
"K19482","NDN"
"K11100","SNRPN"
"K19479","COL10A1"
"K04585","PTHR1"
"K02185","SFRP4"
"K07994","MMP13"
"K12495","IQSEC2"
"K14864","FTSJ1"
"K12879","THOC2"
"K04373","RPS6KA3"
"K05170","IL1RAPL1"
"K05733","PAK3"
"K17255","GDI1"
"K06571","TSPAN7"
"K16271","RLIM"
"K01897","ACSL4"
"K07925","RAB39B"
"K21098","DLG3"
"K20028","ZDHHC15"
"K11798","BRWD3"
"K24376","ZNF711"
"K25862","NEXMIF"
"K11840","USP9X"
"K10395","KIF4A"
"K10647","MID2"
"K11594","DDX3X"
"K10452","KLHL15"
"K23956","FRMPD4"
"K11366","USP27X"
"K09667","OGT"
"K24996","STEEP1"
"K12041","SLC9A7"
"K15194","AFF2"
"K09337","CRX"
"K05644","ABCA4"
"K24069","PITPNM3"
"K12321","GUCY2D"
"K15291","RIMS1"
"K06834","ADAM9"
"K06521","SEMA4A"
"K09333","RAX2"
"K06532","PROM1"
"K16512","RPGRIP1"
"K08328","GUCA1A"
"K16501","CDHR1"
"K07915","RAB28"
"K16602","TTLL5"
"K16482","POC1B"
"K21956","DRAM2"
"K19607","RPGR"
"K04853","CACNA1F"
"K13757","PDE6C"
"K13760","PDE6H"
"K04935","KCNV2"
"K04861","CACNA2D4"
"K11989","IHH"
"K21283","BMP2"
"K05123","ROR2"
"K04658","NOG"
"K22608","PTHLH"
"K19021","PDE3A"
"K20012","GDF6"
"K17609","NXN"
"K00444","WNT5A"
"K02353","DVL1"
"K16834","SOST"
"K20051","LRP4"
"K09315","DLX3"
"K00249","ACADM"
"K07515","HADHA"
"K01832","TBXAS1"
"K22734","ANKH"
"K09331","SHOX"
"K06255","HSPG2"
"K08109","GPC3"
"K08112","GPC6"
"K00771","XYLT1"
"K07748","NSDHL"
"K07984","SH3BP2"
"K19480","GDD1/TMEM16E"
"K19481","MGP"
"K06230","GLI3"
"K19605","EVC1"
"K19608","EVC2"
"K04498","CREBBP"
"K06236","COL1A1"
"K06566","IFITM5"
"K19614","SERPINF1"
"K19606","CRTAP"
"K08134","P3H1"
"K03768","PPIB"
"K09501","SERPINH1"
"K09575","FKBP10"
"K09197","SP7"
"K05502","BMP1"
"K24013","TMEM38B"
"K03209","WNT1"
"K09048","CREB3L1"
"K24262","SPARC"
"K23033","TENT5A"
"K07765","MBTPS2"
"K25366","MESD"
"K10949","KDELR2"
"K11131","DKC1"
"K22183","TERC"
"K11112","TINF2"
"K11136","RTEL1"
"K11114","ACD"
"K11130","NOP10"
"K11129","NHP2"
"K23314","WRAP53"
"K01148","PARN"
"K10613","CUL7"
"K19574","OBSL1"
"K17561","CCDC8"
"K10414","DYNC2H1"
"K08857","NEK1"
"K19674","WDR35"
"K22869","WDR60"
"K05032","ABCC8"
"K09073","PTF1A"
"K08860","EIF2AK3"
"K09232","GLIS3"
"K09228","ZFP57"
"K19485","PLAGL1"
"K13645","PLOD2"
"K10154","IRF6"
"K06081","NECTIN1"
"K12160","SUMO1"
"K04662","BMP4"
"K09314","DLX4"
"K06051","DLL3"
"K09076","MESP2"
"K05948","LNFG"
"K09087","HES7"
"K10180","TBX6"
"K09278","RUNX2"
"K13811","PAPSS2"
"K07293","PTPN11"
"K03099","SOS1"
"K08845","RAF1"
"K07832","RIT1"
"K23330","LZTR1"
"K04368","MAP2K1"
"K04369","MAP2K2"
"K08052","NF1"
"K19613","SHOC2"
"K06269","PPP1CB"
"K04707","CBL"
"K00248","ACADS"
"K07509","HADHB"
"K08765","CPT1A"
"K08766","CPT2"
"K15109","SLC25A20"
"K00022","HADH"
"K00858","NADK2"
"K07511","ECHS1"
"K24286","PRG4"
"K19538","RP1"
"K18272","RP2"
"K04250","RHO"
"K17343","PRPH2"
"K17344","ROM1"
"K19604","RP9"
"K00088","IMPDH1"
"K12844","PRPF31"
"K16681","CRB1"
"K12856","PRPF8"
"K19600","TULP1"
"K18246","CA4"
"K12843","PRPF3"
"K11158","RPE65"
"K19601","EYS"
"K19602","CERKL"
"K09038","NRL"
"K16772","FAM161A"
"K17455","FSCN2"
"K10631","TOPORS"
"K22188","CLCC1"
"K12854","SNRNP200"
"K19637","PRCD"
"K08546","NR2E3"
"K05117","MERTK"
"K19636","USH2A"
"K13756","PDE6B"
"K10445","KLHL7"
"K08718","PDE6A"
"K04254","RGR"
"K04952","CNGB1"
"K00030","IDH3B"
"K19627","SAG"
"K04948","CNGA1"
"K13878","BEST1"
"K24165","PCARE"
"K19017","IMPG2"
"K13759","PDE6G"
"K24373","ZNF513"
"K12855","PRPF6"
"K23841","CLRN1"
"K08829","MAK"
"K23911","RBP3"
"K20872","NEK2"
"K13871","SLC7A14"
"K16539","KIZ"
"K12662","PRPF4"
"K24372","ZNF408"
"K23438","AGBL5"
"K17279","REEP6"
"K21066","ARHGEF18"
"K00844","HK1"
"K19672","IFT140"
"K19675","IFT43"
"K16742","ARL2BP"
"K07944","ARL3"
"K12815","DHX38"
"K09093","AHR"
"K20196","KIF3B"
"K19625","RLBP1"
"K09323","ALX3"
"K09334","ALX1"
"K19656","IFT122"
"K19671","WDR19"
"K20278","INPP5E"
"K16740","AHI1"
"K19657","NPHP1"
"K07962","ARL13B"
"K19673","TTC21B"
"K22765","TMEM237"
"K16455","CEP41"
"K22867","TMEM138"
"K16771","CSPP1"
"K13758","PDE6D"
"K22865","JBTS23"
"K16458","CEP104"
"K22858","KATNIP"
"K22864","ARMC9"
"K16459","CEP120"
"K06229","SUFU"
"K16538","PIBF1"
"K24653","FAM149B1"
"K24886","TOGARAM1"
"K05121","TIE2"
"K23345","GLMN"
"K04352","RASA1"
"K06526","ENG"
"K13594","ACVRL1"
"K05503","GDF2"
"K17705","KRIT1"
"K18269","PDCD10"
"K05097","FLT4"
"K05449","VEGFC"
"K05113","EPHB4"
"K04577","CALCRL"
"K04600","CELSR1"
"K05466","ANGPT2"
"K05120","TIE1"
"K20995","NOTCH3"
"K19626","INVS"
"K16478","NPHP4"
"K16774","IQCB1"
"K09233","GLIS2"
"K20877","NEK8"
"K16462","CEP164"
"K21415","ANKS6"
"K16754","CEP83"
"K23405","DCDC2"
"K21763","MAPKBP1"
"K01262","XPNPEP3"
"K19680","TRAF3IP1"
"K18274","UMOD"
"K06568","MUC1"
"K01380","REN"
"K10956","SEC61A1"
"K04985","PKD1"
"K04986","PKD2"
"K05546","GANAB"
"K19865","PKHD1"
"K16470","DZIP1L"
"K09517","DNAJB11"
"K16796","SOX2"
"K08288","PRKCSH"
"K09540","SEC63"
"K09183","GATA4"
"K10185","TBX20"
"K09608","TLL1"
"K21361","CITED2"
"K17897","GATA6"
"K24335","CRELD1"
"K00274","MAOA"
"K17442","ZFPM2"
"K05495","GDF1"
"K15164","MED13L"
"K25454","CFC1"
"K14211","ELN"
"K04677","SMAD6"
"K06784","ROBO4"
"K09176","TFAP2B"
"K17340","FBLN5"
"K19866","EFEMP2"
"K08023","LTBP4"
"K00286","PYCR1"
"K02150","ATP6V1E1"
"K02145","ATP6V1A"
"K19559","LTBP1"
"K19748","SCYL1BP1"
"K05669","ABCC6"
"K10106","GGCX"
"K11406","HDAC4"
"K12569","EMD"
"K19326","SYNE1"
"K19346","SYNE2"
"K14365","FHL1"
"K10409","DNAI1"
"K19752","DNAAF3"
"K10408","DNAH5"
"K17570","HYDIN"
"K19868","TXNDC3"
"K11143","DNAI2"
"K19751","KTU"
"K19756","RSPH4A"
"K19757","RSPH9"
"K19750","LRRC50"
"K23729","CCDC39"
"K23730","CCDC40"
"K10411","DNAL1"
"K23731","CCDC103"
"K19759","HEATR2"
"K19753","LRRC6"
"K23732","CCDC114"
"K19754","DRC1"
"K24030","ZMYND10"
"K24125","ARMC4"
"K19755","RSPH1"
"K19758","DYX1C1"
"K24229","C21ORF59"
"K23728","CCDC65"
"K19870","SPAG1"
"K10861","CCNO"
"K23733","CCDC151"
"K23965","RSPH3"
"K19942","GAS8"
"K09519","DNAJB13"
"K24254","TTC25"
"K24253","PIH1D3"
"K24230","CFAP300"
"K25425","LRRC56"
"K24627","GAS2L2"
"K10749","MCIDAS"
"K09402","FOXJ1"
"K20879","NEK10"
"K24652","TTC12"
"K06228","STK36"
"K10148","TP73"
"K12564","SGCG"
"K12565","SGCA"
"K12566","SGCB"
"K18261","DYSF"
"K08788","DMPK"
"K09250","ZNF9"
"K05720","FGD1"
"K09187","MLL2"
"K11447","KDM6A"
"K10625","UBR1"
"K11268","ESCO2"
"K19871","SALL1"
"K22154","DACT1"
"K09821","AGT"
"K04166","AGTR1"
"K06243","LAMB2"
"K19941","SYN1"
"K23112","BRAT1"
"K06237","COL4A1"
"K14440","SMARCAL1"
"K08285","MID1"
"K23028","SPECC1L"
"K07604","KRT14"
"K07605","KRT5"
"K22236","EXPH5"
"K10388","PLEC1"
"K10461","KLHL24"
"K06537","CD151"
"K06240","LAMA3"
"K06244","LAMB3"
"K06246","LAMC2"
"K07603","COL17A1"
"K06525","ITGB4"
"K06485","ITGA6"
"K16628","COL7A1"
"K17082","KIND1"
"K02354","FZD4"
"K25688","NDP"
"K17355","TSPAN12"
"K06583","ITGA7"
"K06585","ITGA9"
"K23398","TRIP4"
"K14156","CHKB"
"K24222","INPP5K"
"K13122","FRG1"
"K23113","SMCHD1"
"K23220","LRIF1"
"K08573","CAPN3"
"K09512","DNAJB6"
"K15436","TNPO3"
"K13044","HNRNPDL"
"K20308","TRAPPC11"
"K13667","POGLUT1"
"K05637","LAMA2"
"K21108","BVES"
"K21635","JAG2"
"K23354","LIMS2"
"K23001","TOR1AIP1"
"K13201","TIA1"
"K01939","ADSSL1"
"K19875","MYOT"
"K24456","KY"
"K24426","PYROXD1"
"K10369","SVIL"
"K21991","UNC45B"
"K00802","SMS"
"K09266","SRY"
"K08560","NR5A1"
"K04247","FSHR"
"K05498","BMP15"
"K06695","PSMC3IP"
"K10738","MCM9"
"K22495","SOHLH1"
"K14301","NUP107"
"K17401","MRPS22"
"K08551","ESR2"
"K00408","WNT4"
"K05740","DIAPH1"
"K04929","KCNQ4"
"K07622","GJB3"
"K07621","GJB2"
"K07625","GJB6"
"K06499","CEACAM16"
"K22146","GSDME"
"K18273","TECTA"
"K23574","COCH"
"K10359","MYO7A"
"K09366","POU4F3"
"K10358","MYO6"
"K12302","SLC17A8"
"K09222","REST"
"K09275","GRHL2"
"K21988","TMC1"
"K18258","CRYM"
"K05216","P2RX2"
"K17114","MIR96"
"K06252","TNC"
"K10522","DIABLO"
"K21841","TBC1D24"
"K06546","CD164"
"K20174","OSBPL2"
"K15010","HOMER2"
"K05461","KITLG"
"K02540","MCM2"
"K24155","DMXL2"
"K15377","SLC44A4"
"K16910","PTPRQ"
"K13755","PDE1C"
"K08874","TRRAP"
"K17275","PLS1"
"K05665","ABCC1"
"K10951","SLC12A2"
"K00507","SCD5"
"K23538","ELMOD3"
"K10361","MYO15A"
"K05003","KCNJ10"
"K23907","TMIE"
"K09634","TMPRSS3"
"K19949","OTOF"
"K06813","CDH23"
"K05850","ATP2B2"
"K20056","GIPC3"
"K24636","STRC"
"K21877","USH1C"
"K25030","OTOG"
"K25029","OTOA"
"K16500","PCDH15"
"K05762","RDX"
"K17479","GRXCR1"
"K09593","GAB1"
"K25166","METTL13"
"K23751","TRIOBP"
"K06087","CLDN14"
"K08834","MYO3A"
"K21879","WHRN"
"K06639","CDC14A"
"K08553","ESRRB"
"K24047","ESPN"
"K25781","ILDR1"
"K08041","ADCY1"
"K23837","CIB2"
"K17291","MARVELD2"
"K21882","PDZD7"
"K22147","PJVK"
"K14703","SLC26A5"
"K00545","LRTOMT"
"K23893","LHFPL5"
"K04292","S1PR2"
"K00962","PNPT1"
"K07305","MSRB3"
"K23401","SYNE4"
"K24822","LOXHD1"
"K24164","TPRN"
"K15837","GPSM2"
"K13963","SERPINB6"
"K23531","CABP2"
"K01893","NARS2"
"K24437","TSPEAR"
"K17599","TMEM132E"
"K13024","PPIP5K2"
"K24294","GRXCR2"
"K17277","EPS8"
"K05025","CLIC5"
"K24818","RIPOR2"
"K22524","WBP2"
"K05122","ROR1"
"K14947","ESRP1"
"K15198","BDP1"
"K23694","GRAP"
"K23677","SPNS2"
"K08824","CDKL5"
"K15107","SLC25A22"
"K15292","STXBP1"
"K04833","SCN1A"
"K04927","KCNQ2"
"K20686","ARHGEF9"
"K16499","PCDH19"
"K04834","SCN2A"
"K05858","PLCB1"
"K04840","SCN8A"
"K04946","KCNT1"
"K00781","ST3GAL3"
"K04534","GNAO1"
"K23298","SZT2"
"K05175","GABRA1"
"K20069","NECAP1"
"K21852","DOCK7"
"K04954","HCN1"
"K14445","SLC13A5"
"K04885","KCNB1"
"K05210","GRIN2B"
"K19008","SIK1"
"K01528","DNM1"
"K04875","KCNA2"
"K03231","EEF1A2"
"K23967","SLC12A5"
"K01519","ITPA"
"K25381","FRRS1L"
"K21848","ARV1"
"K21594","GUF1"
"K05613","SLC1A2"
"K05181","GABRB3"
"K12164","UBA5"
"K05212","GRIN2D"
"K22413","FGF12"
"K20164","DENND5A"
"K00026","MDH2"
"K04845","SCN1B"
"K20279","SYNJ1"
"K12888","HNRNPU"
"K03861","PIGP"
"K16198","YWHAG"
"K04947","KCNT2"
"K04615","GABBR2"
"K22816","CNPY3"
"K16068","ADAM22"
"K04836","SCN3A"
"K15294","CPLX1"
"K07868","RHOBTB2"
"K05749","CYFIP2"
"K23294","PACS2"
"K09313","CUX2"
"K15369","TRAK1"
"K04852","CACNA1E"
"K17594","PHACTR1"
"K01425","GLS"
"K09078","NEUROD2"
"K15692","RNF13"
"K05186","GABRG2"
"K01881","PARS2"
"K11652","ACTL6B"
"K03860","PIGQ"
"K05286","PIGB"
"K14455","GOT2"
"K00963","UGP2"
"K00012","UGDH"
"K06636","SMC1A"
"K24973","DALRD3"
"K02208","CDK19"
"K00025","MDH1"
"K01580","GAD1"
"K04348","PPP3CA"
"K20091","CHD2"
"K05291","PIGS"
"K06027","NSF"
"K13207","CELF2"
"K08562","NR0B1"
"K11451","CBX2"
"K04416","MAP3K1"
"K11990","DHH"
"K00089","AKR1C2"
"K00037","AKR1C4"
"K14780","DHX37"
"K09234","WT1"
"K04248","LHCGR"
"K10207","HSD17B3"
"K12344","SRD5A2"
"K04665","AMH"
"K04672","AMHR2"
"K14562","TCOF1"
"K03027","POLR1D"
"K03020","POLR1C"
"K03002","POLR1B"
"K23027","MYOC"
"K10332","ASB10"
"K14554","WDR36"
"K12457","NTF4"
"K20909","CMG2"
"K23444","ENAM"
"K23443","AMELX"
"K23442","AMBN"
"K21957","FAM20A"
"K06589","ITGB6"
"K19284","ACPT"
"K08666","KLK4"
"K07999","MMP20"
"K24753","WDR72"
"K24398","C4orf26"
"K13752","SLC24A4"
"K08408","GPR68"
"K23931","FAM83H"
"K25225","AMTN"
"K05156","RELT"
"K14568","EMG1"
"K09828","DHCR24"
"K21768","TBCE"
"K24274","FAM111A"
"K04686","PITX2"
"K09396","FOXC1"
"K14573","RBM28"
"K01530","ATP8B1"
"K05664","ABCB11"
"K05659","ABCB4"
"K06098","TJP2"
"K08537","NR1H4"
"K14360","SLC51A"
"K10399","KIF12"
"K09382","PAX9"
"K23318","GREM2"
"K05480","EDA"
"K05699","ACTN4"
"K04969","TRPC6"
"K13738","CD2AP"
"K23585","APOL1"
"K10356","MYO1E"
"K15608","PAX2"
"K18621","ANLN"
"K12001","TRIM8"
"K05741","DIAPH2"
"K23917","POF1B"
"K09405","FOXL2"
"K24199","NOBOX"
"K09066","FIGLA"
"K13055","STAG3"
"K15271","HFM1"
"K10737","MCM8"
"K19534","SYCE1"
"K08741","MSH5"
"K22673","GDF9"
"K24146","BNC1"
"K25705","SIX6OS1"
"K25791","HSF2BP"
"K12408","HSD3B7"
"K00251","AKR1D1"
"K05677","ABCD3"
"K10214","ACOX2"
"K25217","LMBR1"
"K08060","CIITA"
"K06582","CD244"
"K09256","NFKBIL1"
"K07253","MIF"
"K06672","NIPBL"
"K06669","SMC3"
"K06670","RAD21"
"K11405","HDAC8"
"K18487","ZIC3"
"K13596","ACVR2B"
"K04666","NODAL"
"K24225","CFAP53"
"K08000","MMP21"
"K04987","PKD1L1"
"K25441","MNS1"
"K24728","CFAP52"
"K25551","CFAP45"
"K20630","CHN1"
"K09036","MAFB"
"K08031","PAX6"
"K11375","ELP4"
"K12020","TRIM44"
"K00312","WNT3"
"K23097","RSPO2"
"K10177","TBX3"
"K06796","CDH3"
"K10387","PKP1"
"K06593","PVRL4"
"K23091","KREMEN1"
"K08231","SLC16A2"
"K05162","EDAR"
"K23324","EDARADD"
"K23346","KDF1"
"K06825","FBN1"
"K19522","XK"
"K10592","HUWE1"
"K19415","PHF8"
"K10609","CUL4B"
"K25778","ZDHHC9"
"K11446","KDM5C"
"K05199","GRIA3"
"K12898","HNRNPH2"
"K17536","CNKSR2"
"K10573","UBE2A"
"K18403","MSL3"
"K13119","FAM50A"
"K25931","NKAP"
"K08102","HS6ST2"
"K02320","POLA1"
"K20650","OPHN1"
"K12394","AP1S"
"K12885","RBMX"
"K14328","UPF3B"
"K05022","CLIC2"
"K03125","TAF1"
"K13214","NONO"
"K02866","RPL10"
"K23342","FBN2"
"K23369","ADAMTSL4"
"K06013","ZMPSTE24"
"K00927","PGK1"
"K01803","TPI1"
"K01810","GPI"
"K04273","LPAR6"
"K19404","LIPH"
"K00432","GPX1"
"K11204","GCLC"
"K21456","GSS"
"K00383","GSR"
"K23420","SPINK5"
"K08625","ADAMTS10"
"K08631","ADAMTS17"
"K24242","UMPH1"
"K23368","TRIP11"
"K15437","AIMP1"
"K21844","FAM126A"
"K07375","TUBB4A"
"K03018","POLR3A"
"K03021","POLR3B"
"K01887","RARS1"
"K20179","VPS11"
"K23327","HIKESHI"
"K12162","UFM1"
"K14163","EPRS1"
"K25048","TMEM106B"
"K15438","AIMP2"
"K04712","DEGS1"
"K21989","TMEM63A"
"K01121","CNP"
"K03019","POLR3K"
"K25174","RNF220"
"K06170","PSENEN"
"K06171","NCSTN"
"K23331","C2orf37"
"K23099","RSPO4"
"K23380","FREM1"
"K23379","FRAS1"
"K20251","GRIP1"
"K02633","PER2"
"K08959","CSNK1D"
"K21945","PER3"
"K00669","AANAT"
"K02295","CRY1"
"K01099","OCRL1"
"K23681","SLURP1"
"K09290","TPM3"
"K18267","NEB"
"K10354","ACTA1"
"K10374","TPM2"
"K10372","TNNT1"
"K21913","KBTBD13"
"K05765","CFL2"
"K10473","KLHL40"
"K22030","LMOD3"
"K04961","RYR1"
"K01108","MTM1"
"K12562","BIN1"
"K18485","MYF6"
"K23693","CCDC78"
"K08809","SPEG"
"K19874","SEPN1"
"K14396","PABPN1"
"K05010","CLCN1"
"K04919","KCNK9"
"K07623","GJB4"
"K04708","KDSR"
"K04979","TRPM4"
"K10136","PERP"
"K19484","PLAG1"
"K09283","HMGA2"
"K12392","AP1B1"
"K10385","LORICRIN"
"K05853","ATP2A2"
"K07596","DSG1"
"K15588","NSD1"
"K09171","NFIX"
"K04527","INSR"
"K04905","KCNH2"
"K04894","KCNE1"
"K04896","KCNE2"
"K04850","CACNA1C"
"K04848","SCN4B"
"K16551","AKAP9"
"K24063","SNTA1"
"K04999","KCNJ5"
"K02183","CALM1"
"K04729","MYD88"
"K09301","HOXA1"
"K00006","GPD1L"
"K04863","CACNB2"
"K04897","KCNE3"
"K04847","SCN3B"
"K04957","HCN4"
"K04537","GNB2"
"K23013","DPP6"
"K12334","NPPA"
"K04878","KCNA5"
"K07614","GJA5"
"K04846","SCN2B"
"K14312","NUP155"
"K12750","MYL4"
"K16866","TIMP3"
"K05646","ABCA12"
"K05619","TGM1"
"K08021","ALOX12B"
"K18684","ALOXE3"
"K17731","CYP4F22"
"K22733","NIPAL4"
"K24210","LIPN"
"K24622","CERS3"
"K16813","PNPLA1"
"K08670","ST14"
"K04401","CASP14"
"K24425","SDR9C7"
"K01015","SULT2B1"
"K10384","FLG"
"K13699","CGI58"
"K23457","CDSN"
"K05622","TGM5"
"K09672","CHST8"
"K13907","CSTA"
"K13965","SERPINB8"
"K04281","CAST"
"K07197","SREBF1"
"K08745","SLC27A4"
"K05005","KCNJ18"
"K04874","KCNA1"
"K04865","CACNB4"
"K05614","SLC1A3"
"K00657","SAT1"
"K04550","LRP1"
"K19678","IFT80"
"K07965","HPSE2"
"K24609","LRIG2"
"K05607","AUH"
"K23166","OPA3"
"K09539","DNAJC19"
"K23504","SERAC1"
"K03695","CLPB"
"K17496","TIMM50"
"K15603","TCF4"
"K07380","CNTNAP2"
"K07377","NRXN1"
"K23951","DYM"
"K23090","WISP3"
"K09270","SOX10"
"K05227","EDN3"
"K20301","TRAPPC2"
"K01020","CHST3"
"K06841","SEMA5A"
"K23491","CTNND2"
"K09624","PRSS12"
"K11793","CRBN"
"K18260","CC2D1A"
"K15335","NSUN2"
"K05202","GRIK2"
"K12669","TUSC3"
"K20306","TRAPPC9"
"K10258","TECR"
"K23741","MAN1B1"
"K15166","MED23"
"K22533","LINS1"
"K02832","CRADD"
"K15442","ADAT3"
"K10595","HERC2"
"K23115","TTI2"
"K03128","TAF2"
"K23295","KPTN"
"K05294","PGAP1"
"K18465","WASHC4"
"K23151","METTL23"
"K10308","FBXO31"
"K02576","NDST1"
"K02184","FMN2"
"K05048","SLC6A17"
"K00814","GPT2"
"K12615","EDC3"
"K00546","HNMT"
"K10083","LMAN2L"
"K05310","PIGG"
"K08840","TNIK"
"K01855","PUS3"
"K23038","ZC3H14"
"K13516","MBOAT7"
"K11374","ELP2"
"K01092","IMPA1"
"K03127","TAF13"
"K23291","RUSC2"
"K03859","PIGC"
"K04515","CAMK2A"
"K23533","LINGO1"
"K03249","EIF3F"
"K00555","TRMT1"
"K10498","ZBTB11"
"K24594","RSRC1"
"K10770","ALKBH8"
"K24418","METTL5"
"K17972","NAA20"
"K05193","GLRA1"
"K05196","GLRB"
"K05038","SLC6A5"
"K22530","ATAD1"
"K04803","CHRNA1"
"K04812","CHRNB1"
"K04816","CHRND"
"K04817","CHRNE"
"K00623","CHAT"
"K19902","SYT2"
"K06254","AGRN"
"K05129","MUSK"
