from,to
"hav","H01414"
"T40042","H02536"
"lhk","H01337"
"sam","H01442"
"sapo","H02392"
"T40080","H00368"
"T40061","H00380"
"T40343","H01326"
"T40045","H00401"
"T40089","H00040"
"mfj","H01458"
"mmi","H01458"
"afm","H01328"
"T40100","H00371"
"fva","H01466"
"coc","H01407"
"T40333","H02173"
"T40369","H02511"
"T40044","H00400"
"T40058","H00416"
"bre","H00427"
"ovi","H01617"
"lgv","H01405"
"T40071","H00397"
"afv","H01328"
"T40084","H00404"
"aha","H01074"
"T40337","H00371"
"bpt","H01066"
"T40367","H02442"
"T40345","H00376"
"mmk","H01350"
"btu","H00427"
"bbk","H00326"
"spe","H00303"
"T40100","H01420"
"T40078","H00366"
"T40035","H00398"
"mct","H01072"
"mao","H00286"
"ecg","H00278"
"ech","H01141"
"mcee","H01458"
"T40071","H00382"
"rty","H00322"
"abu","H01379"
"T40012","H00283"
"tde","H01408"
"tasa","H02428"
"sec","H00113"
"ypx","H00297"
"ypk","H00297"
"T40056","H00379"
"mpe","H00341"
"T40090","H01419"
"T40021","H00390"
"T40040","H00398"
"std","H01443"
"ssa","H00334"
"ccm","H01059"
"mlen","H01176"
"T40069","H00402"
"ctp","H00363"
"T40002","H01563"
"T40066","H00413"
"T40368","H02442"
"bbr","H01083"
"rco","H00323"
"lma","H00359"
"T40123","H00975"
"T40104","H00393"
"act","H01328"
"T40003","H00009"
"tva","H00812"
"nse","H01140"
"T40018","H00389"
"T40042","H00400"
"T40054","H00379"
"T40038","H00398"
"bgh","H01501"
"see","H00113"
"aap","H00334"
"T40087","H00016"
"T40030","H01549"
"tpk","H01408"
"bcy","H00329"
"T40082","H00372"
"aun","H01041"
"T40034","H00396"
"T40105","H00393"
"T40092","H01430"
"T40094","H00975"
"ccu","H01331"
"rsv","H01397"
"ype","H00297"
"rri","H00323"
"bhz","H01077"
"T40022","H00377"
"T40004","H02162"
"maub","H01458"
"T40007","H02173"
"T40086","H00015"
"T40107","H01430"
"T40026","H00382"
"llo","H00311"
"hhm","H01332"
"T40050","H01560"
"shx","H01045"
"ssp","H01176"
"T40005","H01541"
"T40062","H02163"
"T40062","H00383"
"T40067","H02162"
"lst","H00355"
"cpw","H01319"
"T40006","H02173"
"mdr","H01458"
"T40346","H00376"
"T40048","H00382"
"T40095","H01063"
"bpa","H00319"
"T40097","H01418"
"hif","H01330"
"T40052","H00379"
"req","H01021"
"lsh","H00311"
"T40007","H00385"
